datalist,history,0
@
Save,data,every,1800,S
Item,Time,Vo(mV),Tmpr,BTlow,BThigh,BVlow,BVhigh,PT.Tmpr,NT.Tmpr,Ref.Vol,Fan.Pwm,Fan1.Rpm,Fan2.Rpm,Base.St,Volt.St,Tmpr.St,PT.Tmpr.St,NT.Tmpr.St,Err.Code,Events
0,26-06-29,06:18:46,49078,34000,30000,31000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
1,26-06-29,06:26:16,49077,34000,30000,31000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
2,26-06-29,06:33:46,49074,34000,30000,31000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
3,26-06-29,06:41:16,49074,34000,30000,31000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
4,26-06-29,06:48:46,49037,34000,30000,30000,3269,3270,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
5,26-06-29,06:56:16,49024,34000,30000,30000,3268,3269,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
6,26-06-29,07:03:46,49066,34000,30000,30000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
7,26-06-29,07:11:16,49076,34000,30000,30000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
8,26-06-29,07:18:46,49071,34000,30000,30000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
9,26-06-29,07:26:16,49080,34000,30000,30000,3272,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
10,26-06-29,07:33:46,49082,34000,30000,30000,3272,3273,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
11,26-06-29,07:41:16,49078,34000,30000,30000,3271,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
12,26-06-29,07:48:46,49065,34000,30000,30000,3271,3271,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
13,26-06-29,07:56:16,49021,34000,30000,30000,3268,3269,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
14,26-06-29,08:03:46,48991,34000,30000,30000,3266,3267,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
15,26-06-29,08:11:16,48931,34000,30000,30000,3261,3263,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
16,26-06-29,08:18:46,49066,34000,30000,30000,3270,3272,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
17,26-06-29,08:26:16,49156,34000,30000,30000,3276,3278,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
18,26-06-29,08:33:46,49193,34000,30000,30000,3279,3280,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
19,26-06-29,08:41:16,49216,34000,30000,30000,3280,3282,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
20,26-06-29,08:48:46,49231,34000,30000,30000,3281,3283,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
21,26-06-29,08:56:16,49239,34000,30000,30000,3281,3284,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
22,26-06-29,09:03:46,49248,34000,30000,30000,3282,3284,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
23,26-06-29,09:11:16,49252,34000,30000,30000,3282,3284,0,0,3002,0,0,0,Idle,Normal,Normal,Normal,Normal,0x0,
